Class,Precision,Recall,F1-Score,Support
daisy,0.8441558441558441,0.9027777777777778,0.87248322147651,72.0
dandelion,0.9622641509433962,0.8571428571428571,0.9066666666666666,119.0
rose,0.9322033898305084,0.8088235294117647,0.8661417322834646,68.0
sunflower,0.8539325842696629,0.9047619047619048,0.8786127167630058,84.0
tulip,0.8495575221238938,0.9504950495049505,0.897196261682243,101.0
macro avg,0.8884226982646611,0.8848002237198511,0.884220119774378,444.0
weighted avg,0.8923741713133435,0.8873873873873874,0.8874550759299925,444.0
