Epoch,accuracy,loss,val_accuracy,val_loss
1,0.6003989577293396,1.0580657720565796,0.8009259104728699,0.5428863167762756
2,0.7852393388748169,0.6066054701805115,0.8263888955116272,0.4615214765071869
3,0.8214760422706604,0.5061824917793274,0.8599537014961243,0.4078346788883209
4,0.8404255509376526,0.4525221586227417,0.8657407164573669,0.3784046769142151
5,0.848071813583374,0.4302074611186981,0.8819444179534912,0.3580974042415619
6,0.8646941781044006,0.36660173535346985,0.8715277910232544,0.36080124974250793
7,0.8696808218955994,0.35914772748947144,0.8773148059844971,0.34797394275665283
8,0.876329779624939,0.3408863842487335,0.8854166865348816,0.32762691378593445
9,0.8776595592498779,0.34100499749183655,0.8969907164573669,0.3325289487838745
10,0.884973406791687,0.330556184053421,0.8969907164573669,0.3428826630115509
11,0.8939494490623474,0.300452321767807,0.9039351940155029,0.311218798160553
12,0.8859707713127136,0.30719423294067383,0.9108796119689941,0.2825561761856079
13,0.8909574747085571,0.3008241653442383,0.8912037014961243,0.3312707543373108
14,0.8929521441459656,0.29928019642829895,0.8877314925193787,0.3485269248485565
15,0.890625,0.29790788888931274,0.9016203880310059,0.33498966693878174
16,0.896276593208313,0.29609230160713196,0.9120370149612427,0.29486283659935
17,0.891954779624939,0.3057774007320404,0.9074074029922485,0.2998782992362976
18,0.9015957713127136,0.29202646017074585,0.8946759104728699,0.3239985704421997
19,0.8936170339584351,0.28552576899528503,0.8969907164573669,0.32121506333351135
20,0.897606372833252,0.2844735383987427,0.9074074029922485,0.30046597123146057
