Epoch,accuracy,loss,val_accuracy,val_loss
1,0.15519839525222778,2.566540479660034,0.37424546480178833,2.195573568344116
2,0.3977900445461273,1.9273115396499634,0.4647887349128723,1.5759942531585693
3,0.5027624368667603,1.5438798666000366,0.5191146731376648,1.3543325662612915
4,0.6102461218833923,1.1992061138153076,0.531187117099762,1.3443641662597656
5,0.681064784526825,0.9663278460502625,0.6901408433914185,0.879849910736084
6,0.724761426448822,0.8308325409889221,0.6579476594924927,0.9161353707313538
7,0.7458563446998596,0.7703729271888733,0.696177065372467,0.8246082067489624
8,0.7674535512924194,0.6697540879249573,0.7203219532966614,0.7871685028076172
9,0.8106479048728943,0.5556786060333252,0.7283702492713928,0.7892495393753052
10,0.8237066864967346,0.5182074308395386,0.758551299571991,0.6971566677093506
11,0.8287292718887329,0.4595320522785187,0.7022132873535156,0.8786748051643372
12,0.8498241901397705,0.4263971447944641,0.72635817527771,0.7925863265991211
13,0.8643897771835327,0.3680375814437866,0.7645875215530396,0.7191579937934875
14,0.8648920059204102,0.38509976863861084,0.7344064116477966,0.9292637705802917
15,0.8493219614028931,0.46084991097450256,0.7505030035972595,0.8154746294021606
16,0.8925163149833679,0.3061809241771698,0.7444667816162109,0.845164954662323
17,0.9166247844696045,0.25643473863601685,0.7505030035972595,0.8473226428031921
18,0.9146157503128052,0.2323930412530899,0.758551299571991,0.829979658126831
19,0.9231541752815247,0.21888594329357147,0.7565392255783081,0.8692906498908997
20,0.9316926002502441,0.20893552899360657,0.7525150775909424,0.8356461524963379
