Epoch,accuracy,loss,val_accuracy,val_loss
1,0.15318934619426727,2.6013906002044678,0.317907452583313,2.153834581375122
2,0.35409343242645264,1.999497652053833,0.4245472848415375,1.8513716459274292
3,0.4470115602016449,1.7183881998062134,0.4748491048812866,1.5886143445968628
4,0.533400297164917,1.4190763235092163,0.6156941652297974,1.1560372114181519
5,0.5986941456794739,1.2109709978103638,0.6177062392234802,1.12507963180542
6,0.6383726596832275,1.058256983757019,0.6841046214103699,0.9188772439956665
7,0.7192365527153015,0.8633385300636292,0.7404426336288452,0.7742094397544861
8,0.7297840118408203,0.8187917470932007,0.7122736573219299,0.836859405040741
9,0.755901575088501,0.6978362798690796,0.6921529173851013,0.8368018269538879
10,0.7805123329162598,0.653476893901825,0.7283702492713928,0.7698045372962952
