Epoch,accuracy,loss,val_accuracy,val_loss
1,0.1572074294090271,2.575909376144409,0.265593558549881,2.1969053745269775
2,0.3566047251224518,2.013843536376953,0.3702213168144226,1.9059196710586548
3,0.4455047845840454,1.726932406425476,0.5392354130744934,1.5215177536010742
4,0.5384228825569153,1.4360377788543701,0.5653923749923706,1.3164366483688354
5,0.6052234768867493,1.2148182392120361,0.3963782787322998,1.8089295625686646
6,0.5690608024597168,1.3594850301742554,0.649899423122406,1.0714573860168457
7,0.6880964636802673,0.9865676760673523,0.6941649913787842,0.9539090991020203
8,0.6996484398841858,0.8958249688148499,0.6901408433914185,0.9524552226066589
9,0.755901575088501,0.7281640768051147,0.6921529173851013,0.8518274426460266
10,0.7920643091201782,0.6376414895057678,0.6901408433914185,0.8950910568237305
11,0.811652421951294,0.5498988032341003,0.7323943376541138,0.8254894614219666
12,0.8151682615280151,0.5429064631462097,0.7002012133598328,0.9360800981521606
13,0.8543445467948914,0.42648541927337646,0.7243461012840271,0.8301726579666138
14,0.8679055571556091,0.37173983454704285,0.7303823232650757,0.9217990040779114
15,0.8638874888420105,0.4067985713481903,0.7042253613471985,0.8753929138183594
