training_history_LR0.001_BS32_DR0.20_E10
Epoch,accuracy,loss,val_accuracy,val_loss
1,0.197890505194664,2.417948007583618,0.4225352108478546,1.8386828899383545
2,0.41788047552108765,1.8244177103042603,0.5714285969734192,1.3180729150772095
3,0.5459567904472351,1.409406065940857,0.5975854992866516,1.133279800415039
4,0.6343545913696289,1.1395999193191528,0.7183098793029785,0.8598842024803162
5,0.7041687369346619,0.8659098744392395,0.7364184856414795,0.7619730830192566
6,0.7373179197311401,0.7722182273864746,0.7364184856414795,0.7670231461524963
7,0.7508789300918579,0.7026940584182739,0.7404426336288452,0.7190884351730347
8,0.7965846061706543,0.587838888168335,0.7283702492713928,0.6857253313064575
9,0.8091411590576172,0.525599479675293,0.7545271515846252,0.7208566665649414
10,0.8267202377319336,0.5048395395278931,0.758551299571991,0.7441536784172058

training_history_LR0.001_BS32_DR0.20_E15
Epoch,accuracy,loss,val_accuracy,val_loss
1,0.12958312034606934,2.62198805809021,0.29979878664016724,2.2792372703552246
2,0.30487191677093506,2.180983304977417,0.38832998275756836,1.907392978668213
3,0.3977900445461273,1.8892441987991333,0.5050301551818848,1.5759259462356567
4,0.48166751861572266,1.5891265869140625,0.4808852970600128,1.446578860282898
5,0.5781014561653137,1.2713898420333862,0.6398390531539917,1.0336700677871704
6,0.6248116493225098,1.0908828973770142,0.6921529173851013,0.9082630276679993
7,0.681064784526825,0.9213305115699768,0.682092547416687,0.8745625615119934
8,0.7197388410568237,0.8241820335388184,0.668008029460907,0.9173825979232788
9,0.7478653788566589,0.7550474405288696,0.72635817527771,0.7771744132041931
10,0.7684580683708191,0.6419941782951355,0.7283702492713928,0.7345304489135742
11,0.7739829421043396,0.5947858095169067,0.7344064116477966,0.7071546316146851
12,0.8051230311393738,0.5203193426132202,0.7645875215530396,0.6790011525154114
13,0.8232043981552124,0.4961175322532654,0.7746478915214539,0.7217584848403931
14,0.8307383060455322,0.454360693693161,0.7625754475593567,0.7167389392852783
15,0.8362631797790527,0.4343818724155426,0.7223340272903442,0.8024917244911194

training_history_LR0.001_BS32_DR0.20_E20
Epoch,accuracy,loss,val_accuracy,val_loss
1,0.204922154545784,2.437067985534668,0.31388330459594727,2.032848596572876
2,0.409844309091568,1.8174865245819092,0.48490944504737854,1.5048011541366577
3,0.5072827935218811,1.5487066507339478,0.577464759349823,1.3170406818389893
4,0.6027122139930725,1.2487093210220337,0.6398390531539917,1.1046046018600464
5,0.6860873699188232,0.96885085105896,0.7162978053092957,0.8536648750305176
6,0.7433450818061829,0.7648940682411194,0.7223340272903442,0.7839248776435852
7,0.7840281128883362,0.6467361450195312,0.7062374353408813,0.7881260514259338
8,0.7960823774337769,0.6137463450431824,0.7545271515846252,0.7006546854972839
9,0.8051230311393738,0.5480328798294067,0.7746478915214539,0.670690655708313
10,0.8417880535125732,0.46244341135025024,0.7464788556098938,0.7338817715644836
11,0.8453038930892944,0.4332579970359802,0.7484909296035767,0.7312893271446228
12,0.8709191083908081,0.3493628203868866,0.7565392255783081,0.8179004788398743
13,0.8744349479675293,0.36825549602508545,0.772635817527771,0.7531054019927979
14,0.8975389003753662,0.2713505029678345,0.7847082614898682,0.7646020650863647
15,0.9010547399520874,0.2782769203186035,0.7665995955467224,0.8043078780174255
16,0.9105976819992065,0.24115215241909027,0.7545271515846252,0.8619657754898071
17,0.9166247844696045,0.23183639347553253,0.7605633735656738,0.8458779454231262
18,0.9231541752815247,0.2110765427350998,0.772635817527771,0.9019502997398376
19,0.9281768202781677,0.19336558878421783,0.7826961874961853,0.8984605073928833
20,0.933199405670166,0.2034756988286972,0.7665995955467224,0.8116545677185059

training_history_LR0.001_BS32_DR0.35_E10
Epoch,accuracy,loss,val_accuracy,val_loss
1,0.15168257057666779,2.577529191970825,0.23541247844696045,2.193554162979126
2,0.328980416059494,2.060598134994507,0.44064387679100037,1.6952791213989258
3,0.44399797916412354,1.6727304458618164,0.4828973710536957,1.5540285110473633
4,0.5339025855064392,1.4356019496917725,0.559356153011322,1.2400840520858765
5,0.6197890639305115,1.1744409799575806,0.6559355854988098,0.9722561240196228
6,0.678051233291626,0.9662319421768188,0.7042253613471985,0.8404349088668823
7,0.7117026448249817,0.8641842007637024,0.6881287693977356,0.9007638096809387
8,0.7368156909942627,0.7619078755378723,0.7062374353408813,0.8138701319694519
9,0.777498722076416,0.6466532945632935,0.6941649913787842,0.8580923676490784
10,0.7855349183082581,0.6191153526306152,0.7323943376541138,0.7884901762008667

training_history_LR0.001_BS32_DR0.35_E15
Epoch,accuracy,loss,val_accuracy,val_loss
1,0.1481667459011078,2.574708938598633,0.4084506928920746,2.035048484802246
2,0.3556002080440521,1.9806135892868042,0.46881288290023804,1.6069592237472534
3,0.45705676078796387,1.6903178691864014,0.5855130553245544,1.2357432842254639
4,0.5680562257766724,1.332013487815857,0.5150905251502991,1.467647910118103
5,0.5921647548675537,1.2357122898101807,0.6458752751350403,1.0227773189544678
6,0.6589653491973877,0.9880282878875732,0.6780683994293213,0.9180337190628052
7,0.7046710252761841,0.8835439682006836,0.6800804734230042,0.88312166929245
8,0.7518834471702576,0.7358629107475281,0.7424547076225281,0.7492052316665649
9,0.7790055274963379,0.6637226939201355,0.7364184856414795,0.7706763744354248
10,0.802611768245697,0.5484262108802795,0.7303823232650757,0.7854493856430054
11,0.8201908469200134,0.49379172921180725,0.7565392255783081,0.7149580717086792
12,0.8352586627006531,0.46698883175849915,0.7484909296035767,0.765897810459137
13,0.8257157206535339,0.5317018628120422,0.7464788556098938,0.8861455917358398
