EfficientNetB7_lr0.001_epochs10_bs32
epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.2162383794784546,0.547166109085083,0.9693053364753723,0.6522762775421143
2,0.7942792773246765,0.6969994306564331,0.7367010712623596,0.7417582273483276
3,0.6451614499092102,0.7530888319015503,0.7769821882247925,0.7291993498802185
4,0.5303054451942444,0.7915277481079102,0.6411013007164001,0.7778649926185608
5,0.46217164397239685,0.8183957934379578,0.656654417514801,0.7810047268867493
6,0.3979766070842743,0.8393802642822266,0.6207607388496399,0.7880690693855286
7,0.35385459661483765,0.8544812798500061,0.8516175746917725,0.727629542350769
8,0.31946346163749695,0.8640909790992737,0.5952921509742737,0.8053375482559204
9,0.2919580638408661,0.8750735521316528,0.575929582118988,0.8155416250228882
10,0.24240274727344513,0.892920196056366,0.5938773155212402,0.8045526146888733
loss,accuracy
0.6695091128349304,0.7941176295280457
Class,Precision,Recall,F1-Score,Support
Agaricus,0.1111111111111111,0.1111111111111111,0.1111111111111111,18.0
Amanita,0.14285714285714285,0.15789473684210525,0.15,38.0
Boletus,0.1875,0.16666666666666666,0.17647058823529413,54.0
Cortinarius,0.09433962264150944,0.11904761904761904,0.10526315789473684,42.0
Entoloma,0.0,0.0,0.0,19.0
Hygrocybe,0.0,0.0,0.0,16.0
Lactarius,0.3181818181818182,0.35443037974683544,0.33532934131736525,79.0
Russula,0.06521739130434782,0.05172413793103448,0.057692307692307696,58.0
Suillus,0.05555555555555555,0.0625,0.058823529411764705,16.0
macro avg,0.10830696018349834,0.11370829459393021,0.11052111507361997,340.0
weighted avg,0.1509520494129986,0.1588235294117647,0.15420239022676108,340.0
