learning_rate,batch_size,dropout,epochs,test_loss,test_accuracy
0.0001,32,0.5,20,0.10644903033971786,0.9678571224212646
0.001,32,0.5,15,0.1099146381020546,0.9642857313156128
0.001,32,0.5,20,0.09333613514900208,0.9678571224212646
0.0005,32,0.5,20,0.08217372745275497,0.9678571224212646
0.0005,32,0.35,20,0.11638253182172775,0.9642857313156128
0.005,32,0.5,15,0.0778030976653099,0.9714285731315613
0.005,32,0.5,20,0.104,0.9642857313156128
