Class,Precision,Recall,F1-Score,Support
Agaricus,0.1111111111111111,0.1111111111111111,0.1111111111111111,18.0
Amanita,0.14285714285714285,0.15789473684210525,0.15,38.0
Boletus,0.1875,0.16666666666666666,0.17647058823529413,54.0
Cortinarius,0.09433962264150944,0.11904761904761904,0.10526315789473684,42.0
Entoloma,0.0,0.0,0.0,19.0
Hygrocybe,0.0,0.0,0.0,16.0
Lactarius,0.3181818181818182,0.35443037974683544,0.33532934131736525,79.0
Russula,0.06521739130434782,0.05172413793103448,0.057692307692307696,58.0
Suillus,0.05555555555555555,0.0625,0.058823529411764705,16.0
macro avg,0.10830696018349834,0.11370829459393021,0.11052111507361997,340.0
weighted avg,0.1509520494129986,0.1588235294117647,0.15420239022676108,340.0
