Epoch,accuracy,loss,val_accuracy,val_loss
1,0.296875,2.1772639751434326,0.6312500238418579,1.074533224105835
2,0.6898148059844971,0.925722062587738,0.856249988079071,0.39319801330566406
3,0.828125,0.5406450033187866,0.90625,0.26281800866127014
4,0.8680555820465088,0.3874536454677582,0.9312499761581421,0.1973629593849182
5,0.8981481194496155,0.29867032170295715,0.9437500238418579,0.14401274919509888
6,0.9056712985038757,0.26331353187561035,0.9333333373069763,0.1660267412662506
7,0.9322916865348816,0.19042178988456726,0.9624999761581421,0.09578803926706314
8,0.9438657164573669,0.16966073215007782,0.9645833373069763,0.10173884779214859
9,0.9456018805503845,0.1470841020345688,0.96875,0.08609390258789062
10,0.9432870149612427,0.1605229526758194,0.9729166626930237,0.09923074394464493
