Epoch,accuracy,loss,val_accuracy,val_loss
1,0.07349537312984467,2.731755495071411,0.08958332985639572,2.684312343597412
2,0.08738426119089127,2.701321840286255,0.08541666716337204,2.691807508468628
3,0.11342592537403107,2.636587381362915,0.16249999403953552,2.3922510147094727
4,0.15335647761821747,2.3954923152923584,0.2083333283662796,2.1592936515808105
5,0.1545138955116272,2.286205768585205,0.25208333134651184,2.1131792068481445
6,0.17650462687015533,2.224686622619629,0.2979166805744171,2.0753109455108643
7,0.18865740299224854,2.1725404262542725,0.3166666626930237,1.8901692628860474
8,0.24247685074806213,2.0404508113861084,0.41458332538604736,1.6721643209457397
9,0.30266204476356506,1.9061943292617798,0.4833333194255829,1.5158512592315674
10,0.36400464177131653,1.7487236261367798,0.5583333373069763,1.2948991060256958
11,0.4444444477558136,1.5754437446594238,0.6041666865348816,1.1306519508361816
12,0.49421295523643494,1.4632964134216309,0.6187499761581421,1.076650619506836
13,0.5370370149612427,1.3434466123580933,0.65625,1.0080971717834473
14,0.5584490895271301,1.261077642440796,0.6499999761581421,1.0007888078689575
15,0.5954861044883728,1.1286860704421997,0.7083333134651184,0.7953789830207825
16,0.6197916865348816,1.0875118970870972,0.7250000238418579,0.7028123736381531
17,0.6481481194496155,1.0191973447799683,0.7333333492279053,0.7030189037322998
18,0.6701388955116272,0.942850649356842,0.7562500238418579,0.6404893398284912
19,0.6741898059844971,0.8899134397506714,0.762499988079071,0.6257187724113464
20,0.6770833134651184,0.8909137845039368,0.7770833373069763,0.6284566521644592
