Epoch,accuracy,loss,val_accuracy,val_loss
1,0.26875001192092896,2.3713555335998535,0.67578125,1.3646554946899414
2,0.6156250238418579,1.267897129058838,0.80859375,0.8391764760017395
3,0.75,0.8667252659797668,0.87109375,0.580453634262085
4,0.8135416507720947,0.6551716923713684,0.8984375,0.4454248547554016
5,0.856249988079071,0.5265543460845947,0.90625,0.42415308952331543
6,0.871874988079071,0.46571892499923706,0.91015625,0.35281774401664734
7,0.8958333134651184,0.38729584217071533,0.92578125,0.3001149594783783
8,0.9166666865348816,0.34949323534965515,0.9453125,0.29198721051216125
9,0.9270833134651184,0.28684666752815247,0.9609375,0.27654924988746643
10,0.9375,0.2595377564430237,0.96875,0.237541064620018
11,0.9416666626930237,0.252850204706192,0.95703125,0.2235616147518158
12,0.9479166865348816,0.2219230979681015,0.96484375,0.1955040693283081
13,0.9510416388511658,0.20565614104270935,0.98046875,0.156427800655365
14,0.9604166746139526,0.19028158485889435,0.94921875,0.2021912932395935
15,0.9624999761581421,0.1684926152229309,0.9609375,0.17026285827159882
16,0.9802083373069763,0.14172807335853577,0.9765625,0.150328129529953
17,0.9677083492279053,0.16225691139698029,0.98046875,0.13949772715568542
18,0.9750000238418579,0.13762444257736206,0.9765625,0.13944996893405914
19,0.9802083373069763,0.12616780400276184,0.96875,0.17464682459831238
20,0.96875,0.13393941521644592,0.98046875,0.13146907091140747
