Class,Precision,Recall,F1-Score,Support
Agaricus,0.2,0.16666666666666666,0.18181818181818182,18.0
Amanita,0.10256410256410256,0.10526315789473684,0.1038961038961039,38.0
Boletus,0.2549019607843137,0.24074074074074073,0.24761904761904763,54.0
Cortinarius,0.16981132075471697,0.21428571428571427,0.18947368421052632,42.0
Entoloma,0.1875,0.15789473684210525,0.17142857142857143,19.0
Hygrocybe,0.0,0.0,0.0,16.0
Lactarius,0.2289156626506024,0.24050632911392406,0.2345679012345679,79.0
Russula,0.1276595744680851,0.10344827586206896,0.11428571428571428,58.0
Suillus,0.045454545454545456,0.0625,0.05263157894736842,16.0
macro avg,0.14631190740848513,0.14347840237843965,0.14396897593778685,340.0
weighted avg,0.17109583131560646,0.17058823529411765,0.17002584198662632,340.0
