Epoch,accuracy,loss,val_accuracy,val_loss
1,0.27372685074806213,2.302471876144409,0.6312500238418579,1.0573841333389282
2,0.6273148059844971,1.117403507232666,0.8541666865348816,0.41438814997673035
3,0.8049768805503845,0.5953384637832642,0.9166666865348816,0.2324260026216507
4,0.8408564925193787,0.48338159918785095,0.9416666626930237,0.16718293726444244
5,0.8917824029922485,0.30573418736457825,0.9437500238418579,0.17800132930278778
6,0.8993055820465088,0.28215864300727844,0.949999988079071,0.15180276334285736
7,0.9131944179534912,0.2449147254228592,0.9520833492279053,0.11826732754707336
8,0.9328703880310059,0.18808116018772125,0.9395833611488342,0.12801511585712433
9,0.9386574029922485,0.1847059428691864,0.9729166626930237,0.09471660107374191
10,0.9456018805503845,0.15210069715976715,0.9750000238418579,0.07464688271284103
11,0.9513888955116272,0.12701287865638733,0.9750000238418579,0.08485646545886993
12,0.9525462985038757,0.15344229340553284,0.9729166626930237,0.08208439499139786
13,0.9565972089767456,0.12423910200595856,0.9666666388511658,0.07646675407886505
14,0.9629629850387573,0.11184963583946228,0.9750000238418579,0.08550611138343811
15,0.9693287014961243,0.09499797224998474,0.9750000238418579,0.08554361760616302
