EfficientNetV2S_lr0.001_epochs10_bs32
epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.182536005973816,0.5569719672203064,0.8893551230430603,0.680533766746521
2,0.7870232462882996,0.6942538022994995,0.7845366597175598,0.7150706648826599
3,0.6702092289924622,0.7421063184738159,0.8056124448776245,0.7229199409484863
4,0.5810129642486572,0.773485004901886,0.6147629618644714,0.7967032790184021
5,0.5514340996742249,0.7819180488586426,0.6285083889961243,0.7864992022514343
6,0.4982425272464752,0.8017258048057556,0.7289114594459534,0.7362637519836426
7,0.4512230157852173,0.8152579069137573,0.7033870220184326,0.7496075630187988
8,0.4109784960746765,0.8303589224815369,0.5681915283203125,0.8021978139877319
9,0.3824273645877838,0.836634635925293,0.5751378536224365,0.8014128804206848
10,0.3751648962497711,0.8466365933418274,0.522732675075531,0.8155416250228882
loss,accuracy
0.5639852285385132,0.8176470398902893
Class,Precision,Recall,F1-Score,Support
Agaricus,0.2,0.16666666666666666,0.18181818181818182,18.0
Amanita,0.10256410256410256,0.10526315789473684,0.1038961038961039,38.0
Boletus,0.2549019607843137,0.24074074074074073,0.24761904761904763,54.0
Cortinarius,0.16981132075471697,0.21428571428571427,0.18947368421052632,42.0
Entoloma,0.1875,0.15789473684210525,0.17142857142857143,19.0
Hygrocybe,0.0,0.0,0.0,16.0
Lactarius,0.2289156626506024,0.24050632911392406,0.2345679012345679,79.0
Russula,0.1276595744680851,0.10344827586206896,0.11428571428571428,58.0
Suillus,0.045454545454545456,0.0625,0.05263157894736842,16.0
macro avg,0.14631190740848513,0.14347840237843965,0.14396897593778685,340.0
weighted avg,0.17109583131560646,0.17058823529411765,0.17002584198662632,340.0
