Epoch,accuracy,loss,val_accuracy,val_loss
1,0.09794073551893234,2.7438578605651855,0.20523138344287872,2.4293155670166016
2,0.24158714711666107,2.3451340198516846,0.37223339080810547,2.0664210319519043
3,0.36865895986557007,1.9463369846343994,0.46277666091918945,1.67440927028656
4,0.46408841013908386,1.6617482900619507,0.501006007194519,1.5339500904083252
5,0.5469613075256348,1.4262834787368774,0.5975854992866516,1.1995548009872437
6,0.6278252005577087,1.1501151323318481,0.6559355854988098,1.0337164402008057
7,0.6323455572128296,1.1175944805145264,0.668008029460907,0.9561145901679993
8,0.6916122436523438,0.9146300554275513,0.7243461012840271,0.799858570098877
9,0.7393269538879395,0.7506946325302124,0.7102615833282471,0.7574352025985718
10,0.7669512629508972,0.6618390083312988,0.7364184856414795,0.6956446766853333
