Epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.19366496801376343,10.784446716308594,0.2916666567325592,10.00407600402832,9.994721767725423e-05
2,0.26445579528808594,9.929384231567383,0.3422619104385376,9.366510391235352,9.978900925489143e-05
3,0.3027210831642151,9.366484642028809,0.347470223903656,9.149256706237793,9.952569234883413e-05
4,0.32482993602752686,8.8827486038208,0.3645833432674408,8.53360366821289,9.915783448377624e-05
5,0.35820579528808594,8.374228477478027,0.3950892984867096,8.29464340209961,9.868622873909771e-05
6,0.3801020383834839,7.99362325668335,0.3638392984867096,7.91947078704834,9.811186464503407e-05
7,0.3934949040412903,7.626962184906006,0.4516369104385376,7.547502040863037,9.743598639033735e-05
8,0.42665815353393555,7.246140480041504,0.3705357015132904,7.6979498863220215,9.66600127867423e-05
9,0.43346089124679565,6.942691802978516,0.4241071343421936,6.859894752502441,9.578561730450019e-05
10,0.4545068144798279,6.623488426208496,0.4791666567325592,6.596761703491211,9.481465531280264e-05
11,0.4666241407394409,6.338474273681641,0.4427083432674408,6.482789516448975,9.374920773552731e-05
12,0.4934098720550537,6.051881790161133,0.484375,6.057425022125244,9.259152284357697e-05
13,0.5123299360275269,5.774752616882324,0.5029761791229248,5.956640720367432,9.134408901445568e-05
14,0.5140306353569031,5.562455177307129,0.5401785969734192,5.526548862457275,9.000956924865022e-05
15,0.5344387888908386,5.334567546844482,0.581845223903656,5.230673789978027,8.859079389367253e-05
16,0.5269982814788818,5.13802433013916,0.4479166567325592,5.449803352355957,8.70907970238477e-05
17,0.5446428656578064,4.947120189666748,0.5334821343421936,5.008831024169922,8.551278006052598e-05
18,0.5584608912467957,4.754981994628906,0.5602678656578064,4.829094886779785,8.386009722016752e-05
19,0.569940447807312,4.5585246086120605,0.5096726417541504,4.841677665710449,8.213627734221518e-05
20,0.5739796161651611,4.41677188873291,0.5535714030265808,4.530447006225586,8.034501661313698e-05
21,0.5797193646430969,4.250600814819336,0.5729166865348816,4.375223159790039,7.849009125493467e-05
22,0.5975765585899353,4.0780930519104,0.5989583134651184,4.198261260986328,7.657549576833844e-05
23,0.5992771983146667,3.9584803581237793,0.5848214030265808,4.1138434410095215,7.460530468961224e-05
24,0.6069302558898926,3.847914934158325,0.5892857313156128,4.005254745483398,7.25836944184266e-05
25,0.6288265585899353,3.675136089324951,0.6145833134651184,3.876082181930542,7.051500142551959e-05
26,0.6277636289596558,3.578467845916748,0.5438988208770752,3.9913947582244873,6.840362766524777e-05
27,0.6420068144798279,3.4523348808288574,0.5892857313156128,3.7419629096984863,6.625409150728956e-05
28,0.6449829936027527,3.3806347846984863,0.6517857313156128,3.4696314334869385,6.407094770111144e-05
29,0.6464710831642151,3.259708881378174,0.6361607313156128,3.4435977935791016,6.18588674115017e-05
30,0.6524234414100647,3.1631648540496826,0.6220238208770752,3.41186785697937,5.962256545899436e-05
31,0.6732568144798279,3.068134307861328,0.648065447807312,3.2674643993377686,5.736681850976311e-05
32,0.6779336929321289,3.008336305618286,0.652529776096344,3.191190719604492,5.509642869583331e-05
33,0.6823979616165161,2.9044137001037598,0.6465773582458496,3.128821611404419,5.281622725306079e-05
34,0.6843112111091614,2.8427417278289795,0.6614583134651184,3.0488550662994385,5.053110726294108e-05
35,0.7045068144798279,2.73635196685791,0.6294642686843872,3.117992639541626,4.824589268537238e-05
36,0.7049319744110107,2.700815200805664,0.640625,3.0382862091064453,4.596550206770189e-05
37,0.7104591727256775,2.623058795928955,0.679315447807312,2.8389453887939453,4.369477755972184e-05
38,0.6989796161651611,2.583635091781616,0.6547619104385376,2.8802523612976074,4.1438561311224476e-05
39,0.7247023582458496,2.502300977706909,0.6651785969734192,2.8255059719085693,3.9201677282107994e-05
40,0.7200255393981934,2.4747068881988525,0.6510416865348816,2.8532803058624268,3.698887667269446e-05
41,0.7276785969734192,2.4091567993164062,0.6867559552192688,2.7227838039398193,3.4804885217454284e-05
42,0.7383078336715698,2.3627326488494873,0.6934523582458496,2.6946253776550293,3.265436680521816e-05
43,0.7349064350128174,2.3330130577087402,0.6785714030265808,2.722665786743164,3.054189801332541e-05
44,0.7419217824935913,2.2914183139801025,0.680059552192688,2.6476025581359863,2.8471982659539208e-05
45,0.7389456033706665,2.253387928009033,0.6919642686843872,2.584027051925659,2.6449044526088983e-05
46,0.7468112111091614,2.2122602462768555,0.6919642686843872,2.541536808013916,2.4477400074829347e-05
47,0.7502126097679138,2.186695098876953,0.6815476417541504,2.5952036380767822,2.256122388644144e-05
48,0.7612670063972473,2.151505947113037,0.7023809552192688,2.5317554473876953,2.0704628695966676e-05
49,0.7608418464660645,2.1252591609954834,0.6964285969734192,2.502509355545044,1.8911572624347173e-05
50,0.7676445841789246,2.088197946548462,0.6815476417541504,2.505254030227661,1.718587191135157e-05
