6,12,8,7,10,5,10,9,12
7,4,13,11,9,8,13,9,5
15,6,9,3,5,9,5,13,14
11,10,7,8,10,9,8,8,8
5,11,10,13,11,10,5,5,9
7,13,6,11,10,9,7,9,7
8,10,10,6,8,8,8,11,10
10,6,8,9,5,13,8,13,7
10,6,9,9,9,8,13,9,6
